Project_Name,Project_Link,HTML_Filename,Full_Filepath,Download_Status
H2020 Ponderful Tommelen Demosite,https://oppla.eu/ponderful/case-study/h2020-ponderful-tommelen-demosite,021_H2020_Ponderful_Tommelen_Demosite.html,raw_html_data\021_H2020_Ponderful_Tommelen_Demosite.html,Success
H2020 Ponderful Uruguay Pondscape,https://oppla.eu/ponderful/case-study/h2020-ponderful-uruguay-pondscape,024_H2020_Ponderful_Uruguay_Pondscape.html,raw_html_data\024_H2020_Ponderful_Uruguay_Pondscape.html,Success
H2020 Ponderful Water Friendly Farming Nbs Pondscape Biodiversity And Multiple Ecosystem,https://oppla.eu/ponderful/case-study/h2020-ponderful-water-friendly-farming-nbs-pondscape-biodiversity-and-multiple-ecosystem,019_H2020_Ponderful_Water_Friendly_Farming_Nbs_Pondscape_Biodiversity_And_Multiple_E.html,raw_html_data\019_H2020_Ponderful_Water_Friendly_Farming_Nbs_Pondscape_Biodiversity_And_Multiple_E.html,Success
H2020 Ponderfulthe Lystrup Nbs Pondscape Flood Risk Reduction Biodiversity And People,https://oppla.eu/ponderful/case-study/h2020-ponderfulthe-lystrup-nbs-pondscape-flood-risk-reduction-biodiversity-and-people,017_H2020_Ponderfulthe_Lystrup_Nbs_Pondscape_Flood_Risk_Reduction_Biodiversity_And_P.html,raw_html_data\017_H2020_Ponderfulthe_Lystrup_Nbs_Pondscape_Flood_Risk_Reduction_Biodiversity_And_P.html,Success
Heritage Zone Xochimilco Tlahuac And Milpa Alta Mexico City Importance Nature Based,https://oppla.eu/conexus/case-study/heritage-zone-xochimilco-tlahuac-and-milpa-alta-mexico-city-importance-nature-based,079_Heritage_Zone_Xochimilco_Tlahuac_And_Milpa_Alta_Mexico_City_Importance_Nature_Ba.html,raw_html_data\079_Heritage_Zone_Xochimilco_Tlahuac_And_Milpa_Alta_Mexico_City_Importance_Nature_Ba.html,Success
Ille Occuro Usitas Verto Damnum Incassum Pecus Praemitto Refoveo Sit Voco,https://oppla.eu/escom-scotland/case-study/ille-occuro-usitas-verto-damnum-incassum-pecus-praemitto-refoveo-sit-voco,N/A,N/A,Failed: Exceeded 30 redirects.
Improved Integrated Management Natural Resources Within Cairngorms National Park,https://oppla.eu/escom-scotland/case-study/improved-integrated-management-natural-resources-within-cairngorms-national-park,135_Improved_Integrated_Management_Natural_Resources_Within_Cairngorms_National_Park.html,raw_html_data\135_Improved_Integrated_Management_Natural_Resources_Within_Cairngorms_National_Park.html,Success
Interlace Project Chemnitz Germany Engagement Education And Collaboration Advancing,https://oppla.eu/interlace/case-study/interlace-project-chemnitz-germany-engagement-education-and-collaboration-advancing,012_Interlace_Project_Chemnitz_Germany_Engagement_Education_And_Collaboration_Advanc.html,raw_html_data\012_Interlace_Project_Chemnitz_Germany_Engagement_Education_And_Collaboration_Advanc.html,Success
Interlace Project El Corredor Biologico Interurbano Maria Aguilar Cbima Costa Rica Using,https://oppla.eu/interlace/case-study/interlace-project-el-corredor-biologico-interurbano-maria-aguilar-cbima-costa-rica-using,011_Interlace_Project_El_Corredor_Biologico_Interurbano_Maria_Aguilar_Cbima_Costa_Ri.html,raw_html_data\011_Interlace_Project_El_Corredor_Biologico_Interurbano_Maria_Aguilar_Cbima_Costa_Ri.html,Success
Interlace Project Envigado Colombia Using Nature Based Solutions Address Environmental,https://oppla.eu/interlace/case-study/interlace-project-envigado-colombia-using-nature-based-solutions-address-environmental,010_Interlace_Project_Envigado_Colombia_Using_Nature_Based_Solutions_Address_Environ.html,raw_html_data\010_Interlace_Project_Envigado_Colombia_Using_Nature_Based_Solutions_Address_Environ.html,Success
Interlace Project Granollers Spain Using Nature Based Solutions Green Transformation,https://oppla.eu/interlace/case-study/interlace-project-granollers-spain-using-nature-based-solutions-green-transformation,009_Interlace_Project_Granollers_Spain_Using_Nature_Based_Solutions_Green_Transforma.html,raw_html_data\009_Interlace_Project_Granollers_Spain_Using_Nature_Based_Solutions_Green_Transforma.html,Success
Interlace Project Metropolia Krakowska Poland Using Nature Based Solutions Enhance Urban,https://oppla.eu/interlace/case-study/interlace-project-metropolia-krakowska-poland-using-nature-based-solutions-enhance-urban,008_Interlace_Project_Metropolia_Krakowska_Poland_Using_Nature_Based_Solutions_Enhan.html,raw_html_data\008_Interlace_Project_Metropolia_Krakowska_Poland_Using_Nature_Based_Solutions_Enhan.html,Success
Interlace Project Portoviejo Ecuador Using Nature Based Solutions Sustainable Urban,https://oppla.eu/interlace/case-study/interlace-project-portoviejo-ecuador-using-nature-based-solutions-sustainable-urban,007_Interlace_Project_Portoviejo_Ecuador_Using_Nature_Based_Solutions_Sustainable_Ur.html,raw_html_data\007_Interlace_Project_Portoviejo_Ecuador_Using_Nature_Based_Solutions_Sustainable_Ur.html,Success
Izmir Turkey Re Naturing Urban Plan Nbs,https://oppla.eu/urban-greenup/case-study/izmir-turkey-re-naturing-urban-plan-nbs,041_Izmir_Turkey_Re_Naturing_Urban_Plan_Nbs.html,raw_html_data\041_Izmir_Turkey_Re_Naturing_Urban_Plan_Nbs.html,Success
L Braille Public Garden Bari Italy,https://oppla.eu/clearing-house/case-study/l-braille-public-garden-bari-italy,112_L_Braille_Public_Garden_Bari_Italy.html,raw_html_data\112_L_Braille_Public_Garden_Bari_Italy.html,Success
Landscape Park Duisburg Nord Germany,https://oppla.eu/clearing-house/case-study/landscape-park-duisburg-nord-germany,106_Landscape_Park_Duisburg_Nord_Germany.html,raw_html_data\106_Landscape_Park_Duisburg_Nord_Germany.html,Success
Landscape Park Tivoli Roznik And Siska Hill Ljubljana Slovenia,https://oppla.eu/clearing-house/case-study/landscape-park-tivoli-roznik-and-siska-hill-ljubljana-slovenia,097_Landscape_Park_Tivoli_Roznik_And_Siska_Hill_Ljubljana_Slovenia.html,raw_html_data\097_Landscape_Park_Tivoli_Roznik_And_Siska_Hill_Ljubljana_Slovenia.html,Success
Linderud Community Garden,https://oppla.eu/edicitnet/case-study/linderud-community-garden,055_Linderud_Community_Garden.html,raw_html_data\055_Linderud_Community_Garden.html,Success
Lisbon Masterplan Vale De Alcantara Green Corridor,https://oppla.eu/enroute/case-study/lisbon-masterplan-vale-de-alcantara-green-corridor,116_Lisbon_Masterplan_Vale_De_Alcantara_Green_Corridor.html,raw_html_data\116_Lisbon_Masterplan_Vale_De_Alcantara_Green_Corridor.html,Success
Living Fences Buenos Aires Improving Quality Air,https://oppla.eu/conexus/case-study/living-fences-buenos-aires-improving-quality-air,088_Living_Fences_Buenos_Aires_Improving_Quality_Air.html,raw_html_data\088_Living_Fences_Buenos_Aires_Improving_Quality_Air.html,Success
London Nbs Leading Sustainable City,https://oppla.eu/clever-cities/case-study/london-nbs-leading-sustainable-city,115_London_Nbs_Leading_Sustainable_City.html,raw_html_data\115_London_Nbs_Leading_Sustainable_City.html,Success
Magas Termeszeti Erteku Gyepteruletek Megorzese Szenes Legelon Es Mas Dunantuli,https://oppla.eu/team-hub/case-study/magas-termeszeti-erteku-gyepteruletek-megorzese-szenes-legelon-es-mas-dunantuli,043_Magas_Termeszeti_Erteku_Gyepteruletek_Megorzese_Szenes_Legelon_Es_Mas_Dunantuli.html,raw_html_data\043_Magas_Termeszeti_Erteku_Gyepteruletek_Megorzese_Szenes_Legelon_Es_Mas_Dunantuli.html,Success
Malaga Strategy Workshops,https://oppla.eu/turas/case-study/malaga-strategy-workshops,122_Malaga_Strategy_Workshops.html,raw_html_data\122_Malaga_Strategy_Workshops.html,Success
Meishan Dongpo Urban Wetland Park Sichuan Province China,https://oppla.eu/clearing-house/case-study/meishan-dongpo-urban-wetland-park-sichuan-province-china,103_Meishan_Dongpo_Urban_Wetland_Park_Sichuan_Province_China.html,raw_html_data\103_Meishan_Dongpo_Urban_Wetland_Park_Sichuan_Province_China.html,Success
Mirafiori Sud Living Lab,https://oppla.eu/progireg/case-study/mirafiori-sud-living-lab,114_Mirafiori_Sud_Living_Lab.html,raw_html_data\114_Mirafiori_Sud_Living_Lab.html,Success
More Nature Less Waste,https://oppla.eu/nordic-hub/case-study/more-nature-less-waste,063_More_Nature_Less_Waste.html,raw_html_data\063_More_Nature_Less_Waste.html,Success
Multifunctional Land Distribution Denmark,https://oppla.eu/nordic-hub/case-study/multifunctional-land-distribution-denmark,065_Multifunctional_Land_Distribution_Denmark.html,raw_html_data\065_Multifunctional_Land_Distribution_Denmark.html,Success
Multifunctional Wetlands Aland,https://oppla.eu/nordic-hub/case-study/multifunctional-wetlands-aland,062_Multifunctional_Wetlands_Aland.html,raw_html_data\062_Multifunctional_Wetlands_Aland.html,Success
Multisectoral And Multiscale Articulation Urban Regeneration Medellin And Its,https://oppla.eu/conexus/case-study/multisectoral-and-multiscale-articulation-urban-regeneration-medellin-and-its,082_Multisectoral_And_Multiscale_Articulation_Urban_Regeneration_Medellin_And_Its.html,raw_html_data\082_Multisectoral_And_Multiscale_Articulation_Urban_Regeneration_Medellin_And_Its.html,Success
Nature Based Solutions Improving Well Being Urban Areas Sheffield United Kingdom,https://oppla.eu/conexus/case-study/nature-based-solutions-improving-well-being-urban-areas-sheffield-united-kingdom,076_Nature_Based_Solutions_Improving_Well_Being_Urban_Areas_Sheffield_United_Kingdom.html,raw_html_data\076_Nature_Based_Solutions_Improving_Well_Being_Urban_Areas_Sheffield_United_Kingdom.html,Success
Nature Based Solutions Integral And Multiscale Responses Social And Environmental,https://oppla.eu/conexus/case-study/nature-based-solutions-integral-and-multiscale-responses-social-and-environmental,086_Nature_Based_Solutions_Integral_And_Multiscale_Responses_Social_And_Environmenta.html,raw_html_data\086_Nature_Based_Solutions_Integral_And_Multiscale_Responses_Social_And_Environmenta.html,Success
Nature Based Solutions Valencia Better Benicalap Greener And More Sustainable,https://oppla.eu/growgreen/case-study/nature-based-solutions-valencia-better-benicalap-greener-and-more-sustainable,051_Nature_Based_Solutions_Valencia_Better_Benicalap_Greener_And_More_Sustainable.html,raw_html_data\051_Nature_Based_Solutions_Valencia_Better_Benicalap_Greener_And_More_Sustainable.html,Success
Nature Based Solutions Wroclaw Renovated Courtyards And Green Streets,https://oppla.eu/growgreen/case-study/nature-based-solutions-wroclaw-renovated-courtyards-and-green-streets,052_Nature_Based_Solutions_Wroclaw_Renovated_Courtyards_And_Green_Streets.html,raw_html_data\052_Nature_Based_Solutions_Wroclaw_Renovated_Courtyards_And_Green_Streets.html,Success
Naturfelder Association,https://oppla.eu/progireg/case-study/naturfelder-association,113_Naturfelder_Association.html,raw_html_data\113_Naturfelder_Association.html,Success
Okologiai Szemleletu Zoldfelulet Fenntartas Fovarosi Punkosdfurdo Parkban,https://oppla.eu/team-hub/case-study/okologiai-szemleletu-zoldfelulet-fenntartas-fovarosi-punkosdfurdo-parkban,020_Okologiai_Szemleletu_Zoldfelulet_Fenntartas_Fovarosi_Punkosdfurdo_Parkban.html,raw_html_data\020_Okologiai_Szemleletu_Zoldfelulet_Fenntartas_Fovarosi_Punkosdfurdo_Parkban.html,Success
Operation Phosphore Brussels,https://oppla.eu/turas/case-study/operation-phosphore-brussels,121_Operation_Phosphore_Brussels.html,raw_html_data\121_Operation_Phosphore_Brussels.html,Success
Parco Nord Milano Italy,https://oppla.eu/clearing-house/case-study/parco-nord-milano-italy,094_Parco_Nord_Milano_Italy.html,raw_html_data\094_Parco_Nord_Milano_Italy.html,Success
Parkforest Ghent Belgium,https://oppla.eu/clearing-house/case-study/parkforest-ghent-belgium,109_Parkforest_Ghent_Belgium.html,raw_html_data\109_Parkforest_Ghent_Belgium.html,Success
Participatory Reconversion Workshop,https://oppla.eu/turas/case-study/participatory-reconversion-workshop,120_Participatory_Reconversion_Workshop.html,raw_html_data\120_Participatory_Reconversion_Workshop.html,Success
Peri Urban Forest Ostend Belgium,https://oppla.eu/clearing-house/case-study/peri-urban-forest-ostend-belgium,110_Peri_Urban_Forest_Ostend_Belgium.html,raw_html_data\110_Peri_Urban_Forest_Ostend_Belgium.html,Success
Progireg Info Center,https://oppla.eu/progireg/case-study/progireg-info-center,073_Progireg_Info_Center.html,raw_html_data\073_Progireg_Info_Center.html,Success
Programme Baumstarke Stadt Leipzig Germany,https://oppla.eu/clearing-house/case-study/programme-baumstarke-stadt-leipzig-germany,095_Programme_Baumstarke_Stadt_Leipzig_Germany.html,raw_html_data\095_Programme_Baumstarke_Stadt_Leipzig_Germany.html,Success
Puspokszilagy Alkalmazkodas Klimavaltozashoz Lefolyas Lassitassal Es Vizvisszatartason,https://oppla.eu/team-hub/case-study/puspokszilagy-alkalmazkodas-klimavaltozashoz-lefolyas-lassitassal-es-vizvisszatartason,074_Puspokszilagy_Alkalmazkodas_Klimavaltozashoz_Lefolyas_Lassitassal_Es_Vizvisszata.html,raw_html_data\074_Puspokszilagy_Alkalmazkodas_Klimavaltozashoz_Lefolyas_Lassitassal_Es_Vizvisszata.html,Success
Quantifying Consequences Eu Water Policy Ecosystem Service Delivery Loch Leven Scotland,https://oppla.eu/escom-scotland/case-study/quantifying-consequences-eu-water-policy-ecosystem-service-delivery-loch-leven-scotland,134_Quantifying_Consequences_Eu_Water_Policy_Ecosystem_Service_Delivery_Loch_Leven_S.html,raw_html_data\134_Quantifying_Consequences_Eu_Water_Policy_Ecosystem_Service_Delivery_Loch_Leven_S.html,Success
Quito Urban Agriculture Nature Based Solution Facing Climate Change And Food Sovereignty,https://oppla.eu/conexus/case-study/quito-urban-agriculture-nature-based-solution-facing-climate-change-and-food-sovereignty,080_Quito_Urban_Agriculture_Nature_Based_Solution_Facing_Climate_Change_And_Food_Sov.html,raw_html_data\080_Quito_Urban_Agriculture_Nature_Based_Solution_Facing_Climate_Change_And_Food_Sov.html,Success
Rakocziujfalu Termeszetkozeli Belviz Visszatartas Szarazsag Mersekleseert,https://oppla.eu/team-hub/case-study/rakocziujfalu-termeszetkozeli-belviz-visszatartas-szarazsag-mersekleseert,068_Rakocziujfalu_Termeszetkozeli_Belviz_Visszatartas_Szarazsag_Mersekleseert.html,raw_html_data\068_Rakocziujfalu_Termeszetkozeli_Belviz_Visszatartas_Szarazsag_Mersekleseert.html,Success
Regenerating Crown Barracks Brussels,https://oppla.eu/turas/case-study/regenerating-crown-barracks-brussels,119_Regenerating_Crown_Barracks_Brussels.html,raw_html_data\119_Regenerating_Crown_Barracks_Brussels.html,Success
Ruzsa Alkalmazkodas Az Eghajlatvaltozashoz Szurkeviz Visszatartassal Homokhatsagon,https://oppla.eu/team-hub/case-study/ruzsa-alkalmazkodas-az-eghajlatvaltozashoz-szurkeviz-visszatartassal-homokhatsagon,059_Ruzsa_Alkalmazkodas_Az_Eghajlatvaltozashoz_Szurkeviz_Visszatartassal_Homokhatsag.html,raw_html_data\059_Ruzsa_Alkalmazkodas_Az_Eghajlatvaltozashoz_Szurkeviz_Visszatartassal_Homokhatsag.html,Success
Santiago Green Infrastructure Plan Towards Green Infrastructure System,https://oppla.eu/conexus/case-study/santiago-green-infrastructure-plan-towards-green-infrastructure-system,077_Santiago_Green_Infrastructure_Plan_Towards_Green_Infrastructure_System.html,raw_html_data\077_Santiago_Green_Infrastructure_Plan_Towards_Green_Infrastructure_System.html,Success
Scotland Inner Forth Coastal Realignment,https://oppla.eu/escom-scotland/case-study/scotland-inner-forth-coastal-realignment,137_Scotland_Inner_Forth_Coastal_Realignment.html,raw_html_data\137_Scotland_Inner_Forth_Coastal_Realignment.html,Success
Serra De Collserola Natural Park Barcelona Spain,https://oppla.eu/clearing-house/case-study/serra-de-collserola-natural-park-barcelona-spain,098_Serra_De_Collserola_Natural_Park_Barcelona_Spain.html,raw_html_data\098_Serra_De_Collserola_Natural_Park_Barcelona_Spain.html,Success
Socio Ecological Networks Nbs Integrate Nature Urban Planning And Social Appropriation,https://oppla.eu/conexus/case-study/socio-ecological-networks-nbs-integrate-nature-urban-planning-and-social-appropriation,089_Socio_Ecological_Networks_Nbs_Integrate_Nature_Urban_Planning_And_Social_Appropr.html,raw_html_data\089_Socio_Ecological_Networks_Nbs_Integrate_Nature_Urban_Planning_And_Social_Appropr.html,Success
Socio Ecological Urban River Restoration Mitigate Flood Risk Improve Recreational,https://oppla.eu/conexus/case-study/socio-ecological-urban-river-restoration-mitigate-flood-risk-improve-recreational,081_Socio_Ecological_Urban_River_Restoration_Mitigate_Flood_Risk_Improve_Recreationa.html,raw_html_data\081_Socio_Ecological_Urban_River_Restoration_Mitigate_Flood_Risk_Improve_Recreationa.html,Success
Stream And Watershed Restoration Finland,https://oppla.eu/nordic-hub/case-study/stream-and-watershed-restoration-finland,064_Stream_And_Watershed_Restoration_Finland.html,raw_html_data\064_Stream_And_Watershed_Restoration_Finland.html,Success
Studio Cureghem Brussels,https://oppla.eu/turas/case-study/studio-cureghem-brussels,118_Studio_Cureghem_Brussels.html,raw_html_data\118_Studio_Cureghem_Brussels.html,Success
Sweet City Facing Climate Change And Biodiversity Loss Urban Costa Rica,https://oppla.eu/conexus/case-study/sweet-city-facing-climate-change-and-biodiversity-loss-urban-costa-rica,087_Sweet_City_Facing_Climate_Change_And_Biodiversity_Loss_Urban_Costa_Rica.html,raw_html_data\087_Sweet_City_Facing_Climate_Change_And_Biodiversity_Loss_Urban_Costa_Rica.html,Success
Talajelet Biologiai Sokszinusegenek Novelese Es Fenntarthato Videki Elet Nepszerusitese,https://oppla.eu/team-hub/case-study/talajelet-biologiai-sokszinusegenek-novelese-es-fenntarthato-videki-elet-nepszerusitese,040_Talajelet_Biologiai_Sokszinusegenek_Novelese_Es_Fenntarthato_Videki_Elet_Nepszer.html,raw_html_data\040_Talajelet_Biologiai_Sokszinusegenek_Novelese_Es_Fenntarthato_Videki_Elet_Nepszer.html,Success
Termeszetes Vizmegtartas Civil Osszefogassal Homokhatsagon,https://oppla.eu/team-hub/case-study/termeszetes-vizmegtartas-civil-osszefogassal-homokhatsagon,050_Termeszetes_Vizmegtartas_Civil_Osszefogassal_Homokhatsagon.html,raw_html_data\050_Termeszetes_Vizmegtartas_Civil_Osszefogassal_Homokhatsagon.html,Success
Tiszatarjan Fenntarthato Gazdalkodas Es Vizvisszatartas Az Arteren Klimaalkalmazkodas,https://oppla.eu/team-hub/case-study/tiszatarjan-fenntarthato-gazdalkodas-es-vizvisszatartas-az-arteren-klimaalkalmazkodas,067_Tiszatarjan_Fenntarthato_Gazdalkodas_Es_Vizvisszatartas_Az_Arteren_Klimaalkalmaz.html,raw_html_data\067_Tiszatarjan_Fenntarthato_Gazdalkodas_Es_Vizvisszatartas_Az_Arteren_Klimaalkalmaz.html,Success
Transition Planning Parco Agricolo,https://oppla.eu/turas/case-study/transition-planning-parco-agricolo,117_Transition_Planning_Parco_Agricolo.html,raw_html_data\117_Transition_Planning_Parco_Agricolo.html,Success
Urban Forests And Promotion Native Ecosystems Sao Paulo Brazil,https://oppla.eu/conexus/case-study/urban-forests-and-promotion-native-ecosystems-sao-paulo-brazil,075_Urban_Forests_And_Promotion_Native_Ecosystems_Sao_Paulo_Brazil.html,raw_html_data\075_Urban_Forests_And_Promotion_Native_Ecosystems_Sao_Paulo_Brazil.html,Success
Urban Gardens Barcelona Multifunctional Green Enhance Nature Based Thinking Cities,https://oppla.eu/conexus/case-study/urban-gardens-barcelona-multifunctional-green-enhance-nature-based-thinking-cities,090_Urban_Gardens_Barcelona_Multifunctional_Green_Enhance_Nature_Based_Thinking_Citi.html,raw_html_data\090_Urban_Gardens_Barcelona_Multifunctional_Green_Enhance_Nature_Based_Thinking_Citi.html,Success
Vanhankaupunginlahti Old Town Bay Finland,https://oppla.eu/clearing-house/case-study/vanhankaupunginlahti-old-town-bay-finland,096_Vanhankaupunginlahti_Old_Town_Bay_Finland.html,raw_html_data\096_Vanhankaupunginlahti_Old_Town_Bay_Finland.html,Success
Water Haigh Woodland Park Lower River Aire Valley Leeds Uk,https://oppla.eu/clearing-house/case-study/water-haigh-woodland-park-lower-river-aire-valley-leeds-uk,105_Water_Haigh_Woodland_Park_Lower_River_Aire_Valley_Leeds_Uk.html,raw_html_data\105_Water_Haigh_Woodland_Park_Lower_River_Aire_Valley_Leeds_Uk.html,Success
Wetland Baquedano Park City Llanquihue Chile,https://oppla.eu/conexus/case-study/wetland-baquedano-park-city-llanquihue-chile,084_Wetland_Baquedano_Park_City_Llanquihue_Chile.html,raw_html_data\084_Wetland_Baquedano_Park_City_Llanquihue_Chile.html,Success
Wine Exemplar Translating Consumer Values Environmental Structures And Functions,https://oppla.eu/openness/case-study/wine-exemplar-translating-consumer-values-environmental-structures-and-functions,136_Wine_Exemplar_Translating_Consumer_Values_Environmental_Structures_And_Functions.html,raw_html_data\136_Wine_Exemplar_Translating_Consumer_Values_Environmental_Structures_And_Functions.html,Success
